periodo,fecha,cve_ent,Estado,Sigla,sexo,tipo_paciente,positivos,fallecimientos,sospechosos,merge
2020-04-13,13/04/2020,19,Nuevo León,NL,1,1,38,0,708,0
2020-04-13,13/04/2020,19,Nuevo León,NL,1,2,5,1,45,0
2020-04-13,13/04/2020,19,Nuevo León,NL,2,1,75,1,888,0
2020-04-13,13/04/2020,19,Nuevo León,NL,2,2,9,2,70,0
2020-04-13,13/04/2020,20,Oaxaca,Oax,1,1,19,0,25,0
2020-04-13,13/04/2020,20,Oaxaca,Oax,1,2,3,1,10,0
2020-04-13,13/04/2020,20,Oaxaca,Oax,2,1,17,2,12,0
2020-04-13,13/04/2020,20,Oaxaca,Oax,2,2,5,0,12,0
2020-04-13,13/04/2020,21,Puebla,Pue,1,1,90,0,103,0
2020-04-13,13/04/2020,21,Puebla,Pue,1,2,35,6,30,0
2020-04-13,13/04/2020,21,Puebla,Pue,2,1,84,0,95,0
2020-04-13,13/04/2020,21,Puebla,Pue,2,2,62,18,33,0
2020-04-13,13/04/2020,22,Querétaro,Qro,1,1,21,1,29,0
2020-04-13,13/04/2020,22,Querétaro,Qro,1,2,7,0,11,0
2020-04-13,13/04/2020,22,Querétaro,Qro,2,1,21,0,30,0
2020-04-13,13/04/2020,22,Querétaro,Qro,2,2,10,2,7,0
2020-04-13,13/04/2020,23,Quintana Roo,Q. Roo,1,1,50,0,71,0
2020-04-13,13/04/2020,23,Quintana Roo,Q. Roo,1,2,26,5,24,0
2020-04-13,13/04/2020,23,Quintana Roo,Q. Roo,2,1,83,1,67,0
2020-04-13,13/04/2020,23,Quintana Roo,Q. Roo,2,2,83,16,44,0
2020-04-13,13/04/2020,24,San Luis Potosí,SLP,1,1,25,0,33,0
2020-04-13,13/04/2020,24,San Luis Potosí,SLP,1,2,1,0,17,0
2020-04-13,13/04/2020,24,San Luis Potosí,SLP,2,1,20,0,33,0
2020-04-13,13/04/2020,24,San Luis Potosí,SLP,2,2,8,4,19,0
2020-04-13,13/04/2020,25,Sinaloa,Sin,1,1,54,1,94,0
2020-04-13,13/04/2020,25,Sinaloa,Sin,1,2,50,12,26,0
2020-04-13,13/04/2020,25,Sinaloa,Sin,2,1,51,0,70,0
2020-04-13,13/04/2020,25,Sinaloa,Sin,2,2,89,15,40,0
2020-04-13,13/04/2020,26,Sonora,Son,1,1,21,0,53,0
2020-04-13,13/04/2020,26,Sonora,Son,1,2,19,7,30,0
2020-04-13,13/04/2020,26,Sonora,Son,2,1,24,0,32,0
2020-04-13,13/04/2020,26,Sonora,Son,2,2,10,2,16,0
2020-04-13,13/04/2020,27,Tabasco,Tab,1,1,68,2,138,0
2020-04-13,13/04/2020,27,Tabasco,Tab,1,2,13,3,18,0
2020-04-13,13/04/2020,27,Tabasco,Tab,2,1,57,2,152,0
2020-04-13,13/04/2020,27,Tabasco,Tab,2,2,20,8,26,0
2020-04-13,13/04/2020,28,Tamaulipas,Tamps,1,1,23,0,44,0
2020-04-13,13/04/2020,28,Tamaulipas,Tamps,1,2,3,2,17,0
2020-04-13,13/04/2020,28,Tamaulipas,Tamps,2,1,26,1,57,0
2020-04-13,13/04/2020,28,Tamaulipas,Tamps,2,2,5,0,18,0
2020-04-13,13/04/2020,29,Tlaxcala,Tlax,1,1,19,0,32,0
2020-04-13,13/04/2020,29,Tlaxcala,Tlax,1,2,3,0,4,0
2020-04-13,13/04/2020,29,Tlaxcala,Tlax,2,1,16,1,34,0
2020-04-13,13/04/2020,29,Tlaxcala,Tlax,2,2,9,1,9,0
2020-04-13,13/04/2020,30,Veracruz,Ver,1,1,25,0,191,0
2020-04-13,13/04/2020,30,Veracruz,Ver,1,2,14,1,28,0
2020-04-13,13/04/2020,30,Veracruz,Ver,2,1,29,0,139,0
2020-04-13,13/04/2020,30,Veracruz,Ver,2,2,20,2,33,0
2020-04-13,13/04/2020,31,Yucatán,Yuc,1,1,52,0,44,0
2020-04-13,13/04/2020,31,Yucatán,Yuc,1,2,4,2,11,0
2020-04-13,13/04/2020,31,Yucatán,Yuc,2,1,43,0,36,0
2020-04-13,13/04/2020,31,Yucatán,Yuc,2,2,17,4,10,0
2020-04-13,13/04/2020,32,Zacatecas,Zac,1,1,4,0,19,0
2020-04-13,13/04/2020,32,Zacatecas,Zac,1,2,1,0,7,0
2020-04-13,13/04/2020,32,Zacatecas,Zac,2,1,6,0,19,0
2020-04-13,13/04/2020,32,Zacatecas,Zac,2,2,6,2,12,0
2020-04-14,14/04/2020,1,Aguascalientes,Ags,1,1,29,0,22,0
2020-04-14,14/04/2020,1,Aguascalientes,Ags,1,2,3,0,7,0
2020-04-14,14/04/2020,1,Aguascalientes,Ags,2,1,28,0,32,0
2020-04-14,14/04/2020,1,Aguascalientes,Ags,2,2,5,1,5,0
2020-04-14,14/04/2020,2,Baja California,BC,1,1,121,0,196,0
2020-04-14,14/04/2020,2,Baja California,BC,1,2,65,6,99,0
2020-04-14,14/04/2020,2,Baja California,BC,2,1,129,0,150,0
2020-04-14,14/04/2020,2,Baja California,BC,2,2,96,22,130,0
2020-04-14,14/04/2020,3,Baja California Sur,BCS,1,1,68,0,99,0
2020-04-14,14/04/2020,3,Baja California Sur,BCS,1,2,6,1,16,0
2020-04-14,14/04/2020,3,Baja California Sur,BCS,2,1,82,3,68,0
2020-04-14,14/04/2020,3,Baja California Sur,BCS,2,2,8,1,15,0
2020-04-14,14/04/2020,4,Campeche,Camp,1,1,5,0,11,0
2020-04-14,14/04/2020,4,Campeche,Camp,1,2,3,0,2,0
2020-04-14,14/04/2020,4,Campeche,Camp,2,1,14,0,7,0
2020-04-14,14/04/2020,4,Campeche,Camp,2,2,3,1,6,0
2020-04-14,14/04/2020,5,Coahuila,Coah,1,1,77,1,439,0
2020-04-14,14/04/2020,5,Coahuila,Coah,1,2,11,5,58,0
2020-04-14,14/04/2020,5,Coahuila,Coah,2,1,99,1,374,0
2020-04-14,14/04/2020,5,Coahuila,Coah,2,2,11,6,44,0
2020-04-14,14/04/2020,6,Colima,Col,1,1,2,0,6,0
