yearm,CVE_construccion,anio,mes,month,codigo_actividad,descripcion_actividad,codigo_entidad,entidad,vp_total_entidad,unidad_medida,estatus,Tipo,vp_total_entidad_1
01/09/2009,1,2009,9,septiembre,23,Construcción,14,Jalisco,1149348.160512,Miles de pesos constantes,Cifras definitivas,Edificación,1204974.210332
01/10/2009,1,2009,10,octubre,23,Construcción,14,Jalisco,1088510.457767,Miles de pesos constantes,Cifras definitivas,Edificación,1292846.690457
01/11/2009,1,2009,11,noviembre,23,Construcción,14,Jalisco,955683.350444,Miles de pesos constantes,Cifras definitivas,Edificación,1121557.621514
01/12/2009,1,2009,12,diciembre,23,Construcción,14,Jalisco,981067.413486,Miles de pesos constantes,Cifras definitivas,Edificación,1442442.12483
01/01/2010,1,2010,1,enero,23,Construcción,14,Jalisco,1137546.441208,Miles de pesos constantes,Cifras definitivas,Edificación,935427.895863
01/02/2010,1,2010,2,febrero,23,Construcción,14,Jalisco,906815.568114,Miles de pesos constantes,Cifras definitivas,Edificación,1033945.38166
01/03/2010,1,2010,3,marzo,23,Construcción,14,Jalisco,936860.850975,Miles de pesos constantes,Cifras definitivas,Edificación,1035217.177399
01/04/2010,1,2010,4,abril,23,Construcción,14,Jalisco,903410.139794,Miles de pesos constantes,Cifras definitivas,Edificación,1007192.404154
01/05/2010,1,2010,5,mayo,23,Construcción,14,Jalisco,871410.154722,Miles de pesos constantes,Cifras definitivas,Edificación,928207.271959
01/06/2010,1,2010,6,junio,23,Construcción,14,Jalisco,1021504.954131,Miles de pesos constantes,Cifras definitivas,Edificación,674402.648395
01/07/2010,1,2010,7,julio,23,Construcción,14,Jalisco,989754.3221549999,Miles de pesos constantes,Cifras definitivas,Edificación,1014218.28232
01/08/2010,1,2010,8,agosto,23,Construcción,14,Jalisco,1008628.64547,Miles de pesos constantes,Cifras definitivas,Edificación,972982.6735799999
01/09/2010,1,2010,9,septiembre,23,Construcción,14,Jalisco,1110467.425724,Miles de pesos constantes,Cifras definitivas,Edificación,1149348.160512
01/10/2010,1,2010,10,octubre,23,Construcción,14,Jalisco,1064425.835902,Miles de pesos constantes,Cifras definitivas,Edificación,1088510.457767
01/11/2010,1,2010,11,noviembre,23,Construcción,14,Jalisco,1135772.756765,Miles de pesos constantes,Cifras definitivas,Edificación,955683.350444
01/12/2010,1,2010,12,diciembre,23,Construcción,14,Jalisco,1131733.208928,Miles de pesos constantes,Cifras definitivas,Edificación,981067.413486
01/01/2011,1,2011,1,enero,23,Construcción,14,Jalisco,1043771.232082,Miles de pesos constantes,Cifras definitivas,Edificación,1137546.441208
01/02/2011,1,2011,2,febrero,23,Construcción,14,Jalisco,1039895.682659,Miles de pesos constantes,Cifras definitivas,Edificación,906815.568114
01/03/2011,1,2011,3,marzo,23,Construcción,14,Jalisco,843757.7200119999,Miles de pesos constantes,Cifras definitivas,Edificación,936860.850975
