Periodo,year,month,Mes,IT_,PO_,RM_,h000,i000a,j122,m100,k100a,Entidad,orden
01/01/2010,2010,1,enero,-.041559987,-.013448196,-.0073725856,99.907501,71.728699,84.964867,85.116264,81.1101,Nacional,1
01/02/2010,2010,2,febrero,-.016221484,-.013188959,.023976807,99.832748,72.471748,82.758186,78.766212,80.07576,Nacional,1
01/03/2010,2010,3,marzo,-.016973644,-.015756814,.050442245,99.656631,73.172516,86.034859,85.902802,90.067139,Nacional,1
01/04/2010,2010,4,abril,-.0092348643,-.018564178,.018799486,99.790176,73.067261,83.997215,82.230827,83.780754,Nacional,1
01/05/2010,2010,5,mayo,.011422058,-.0097029023,.014585903,100.07023,72.740318,87.390884,86.462021,85.749466,Nacional,1
01/06/2010,2010,6,junio,.00063282356,-.013314662,.042102743,100.00765,72.934792,84.511475,85.256523,86.470932,Nacional,1
01/07/2010,2010,7,julio,-.004637308,-.014674753,.030851463,99.596268,73.360054,86.089012,86.937607,86.937866,Nacional,1
01/08/2010,2010,8,agosto,.013004361,-.013368527,.051291101,99.433159,73.842751,85.654312,88.131897,87.788651,Nacional,1
01/09/2010,2010,9,septiembre,.0011579586,-.010141175,.034664538,99.818527,74.563049,83.823303,82.771301,86.482201,Nacional,1
01/10/2010,2010,10,octubre,.0054443614,-.0081035001,.022656117,100.00581,75.696938,85.314468,86.99202,93.307083,Nacional,1
01/11/2010,2010,11,noviembre,-.0078730527,-.002510224,.015764546,100.31478,78.3703,83.762329,87.173958,92.835411,Nacional,1
01/12/2010,2010,12,diciembre,-.0021075855,-.0088196443,.022781253,100.35919,78.844421,113.19407,108.21031,102.22565,Nacional,1
01/01/2011,2011,1,enero,.016172539,-.004856667,.022628974,97.736328,78.473808,83.481194,86.929108,83.837814,Nacional,1
01/02/2011,2011,2,febrero,-.017231211,-.004655642,.0099851554,98.080849,77.501907,81.740578,77.744591,79.216782,Nacional,1
01/03/2011,2011,3,marzo,-.017873686,-.0017541075,.015461875,98.269157,77.954285,84.987221,84.656212,88.087761,Nacional,1
01/04/2011,2011,4,abril,.0044794404,-.0010295857,.021075688,98.447716,77.447739,84.694893,82.949806,85.298798,Nacional,1
01/05/2011,2011,5,mayo,.00058042194,-.0062740375,.034095149,97.943031,77.530533,85.461388,86.692276,87.864716,Nacional,1
01/06/2011,2011,6,junio,-.001496825,-.000017632601,.041938167,98.553947,77.745247,86.185699,85.651382,87.336998,Nacional,1
01/07/2011,2011,7,julio,-.0082338676,.0071920464,.025022645,98.914101,78.457397,86.253807,86.630226,87.710556,Nacional,1
01/08/2011,2011,8,agosto,-.0046625868,.0068657226,-.0040783985,99.012421,78.20713,86.029488,88.172646,92.094078,Nacional,1
01/09/2011,2011,9,septiembre,.016279047,.0054352903,.026503757,99.174301,78.851715,85.361618,84.53006,88.610748,Nacional,1
01/10/2011,2011,10,octubre,.010255961,.0073740776,.0030224971,99.417542,80.642914,84.9636,88.327911,95.149635,Nacional,1
01/11/2011,2011,11,noviembre,.041578345,.0042930818,.020081157,99.492958,82.872154,84.518021,91.385986,98.307068,Nacional,1
01/12/2011,2011,12,diciembre,.026860556,.0043003275,.0092114601,99.660378,83.000618,113.64534,111.73182,106.09889,Nacional,1
01/01/2012,2012,1,enero,.025820041,.014705665,.0098362667,98.209518,82.82486,85.285973,89.027756,84.913879,Nacional,1
01/02/2012,2012,2,febrero,.086045787,.012110811,.029444382,98.062401,82.751564,84.267822,84.495575,84.464737,Nacional,1
01/03/2012,2012,3,marzo,.051750131,.011269759,.024742171,98.293221,82.583641,87.476456,89.163216,90.690269,Nacional,1
01/04/2012,2012,4,abril,.027278656,.0063722837,.0034305418,97.943756,82.263985,84.769516,85.299232,87.814201,Nacional,1
01/05/2012,2012,5,mayo,.041671388,.011219747,.015890706,98.074821,82.267776,87.428398,90.645126,92.562866,Nacional,1
01/06/2012,2012,6,junio,.042540368,.0061386684,-.0016536078,98.027573,82.950081,86.325256,89.273285,92.476295,Nacional,1
01/07/2012,2012,7,julio,.030791232,.0038923216,-.0070811408,98.119125,83.908081,86.007057,89.312401,92.200706,Nacional,1
01/08/2012,2012,8,agosto,.038889907,.0037422045,.021933798,98.074829,84.108086,87.290138,91.530266,94.821014,Nacional,1
